Year,Route,Route_Side,Member_Deaths,Hired_Deaths,Total_Deaths,Highpoint_m,Cause,Details
1921,"W, N & E sides",North (China/Tibet),1,1,2,7000,Unknown,Kellas and 1 porter died on approach march
1922,N Col-N Face,North (China/Tibet),0,7,7,8320,Avalanche,7 Sherpas killed in avalanche below N Col
1924,N Col-N Face (Norton to 8570m),North (China/Tibet),2,2,4,8600,Fall,Mallory and Irvine disappeared (fall?); 1 porter and 1 Ghurka NCO died of illness
1934,N Col,North (China/Tibet),1,0,1,6900,Unknown,Wilson's death
1952,S Col-SE Ridge,South (Nepal),0,1,1,8100,Avalanche,"1 Sherpa killed by ice avalanche, 2 porters died on approach march"
1960,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,
1962,S Col-SE Ridge,South (Nepal),0,1,1,8720,Fall,1 Sherpa killed by falling rock below C4
1963,S Col-SE Ridge,South (Nepal),1,0,1,8849,Fall,Breitenbach killed in Khumbu Icefall
1964,N Col-NE Ridge (training),North (China/Tibet),1,0,1,8100,Unknown,1 member died of illness
1966,"N Col (training, recon)",North (China/Tibet),1,0,1,8100,Fall,1 confirmed dead in fall; rumored many others dead (24?) because of insufficient equipment and reliance on Mao thoughts
1969,S Col (recon),South (Nepal),0,1,1,7500,Fall,1 Sherpa killed by fall into crevasse
1970,S Col-SE Ridge,South (Nepal),1,1,2,8849,Fall,1 Sherpa killed by icefall; 1 member died of heart attack
1970,S Col (skiing),South (Nepal),0,6,6,8100,Fall,6 Sherpas killed in Khumbu Icefall
1971,W Cwm-W Ridge (to 7300m),South (Nepal),1,0,1,8380,Exhaustion/Exposure,"1 member died of exhaustion, exposure and frostbite"
1972,SW Face,South (Nepal),1,0,1,8230,Fall,Tony Tighe killed in icefall by falling serac
1973,S Col-SE Ridge,South (Nepal),0,1,1,8849,Avalanche,Zangbu Sherpa killed by avalanche between C2 and C3
1974,Lho La-W Ridge,South (Nepal),1,5,6,6900,Avalanche,5 Sherpas killed in avalanche and 1 member Devouassoux killed in avalanche
1975,SW Face-S Smt,South (Nepal),1,1,2,8849,Fall,Burke fell to death near summit
1975,N Col-NE Ridge,North (China/Tibet),1,0,1,8849,Unknown,
1976,S Col-SE Ridge,South (Nepal),1,0,1,8849,Unknown,
1978,S Col-SE Ridge,South (Nepal),0,1,1,8849,Fall,1 Sherpa died in icefall
1978,"N Ridge (recon, training)",North (China/Tibet),1,0,1,7790,Unknown,1 film-man died of illness
